结束时间,流量,Tcp重连次数,Tcp质量,"Tcp延迟 ",Http延迟
00:10:00,8945229,167,18.66,112.91,183.15
00:26:40,84261678,924,10.96,186.78,348.28
00:43:20,10656057,1214,113.9,195.91,191.96
01:00:00,15879739,439,27.64,77.237,135.73
01:16:40,53944671,443,8.212,175.75,345.87
01:33:20,37975282,245,6.451,237.41,444.15
01:50:00,21389508,142,6.638,348.43,642.84
02:06:40,18457648,33,1.787,730.99,1575.5
02:23:20,2343933,61,26.02,79.082,130.51
02:40:00,299284,44,147.0,107.92,81.737
02:56:40,928182,40,43.09,75.148,174.28
03:13:20,406604,76,186.9,65.298,2997.4
03:30:00,411544,85,206.5,62.345,184.56
03:46:40,64419583,332,5.153,63.995,1130.4
04:03:20,1908780,59,30.90,69.417,92.258
04:20:00,48008415,314,6.540,58.839,383.27
04:36:40,4858046,50,10.29,57.200,78.477
04:53:20,384671,41,106.5,55.894,59.912
05:10:00,203568,18,88.42,62.275,67.112
05:26:40,193730,32,165.1,57.381,58.190
05:43:20,1304627,293,224.5,57.365,64.879
06:00:00,1648977,17,10.30,83.912,1548.5
06:16:40,661992,14,21.14,73.855,1937.7
06:33:20,2589736,199,76.84,95.907,129.58
06:50:00,1528750,15,9.811,84.378,114.58
07:06:40,6618288,37,5.590,76.281,125.29
07:23:20,12781693,221,17.29,101.34,162.72
07:40:00,8021762,433,53.97,92.475,139.57
07:56:40,8215910,176,21.42,92.995,147.02
08:13:20,11909303,82,6.885,96.951,156.59
08:30:00,9006101,1210,134.3,116.74,578.40
08:46:40,22603588,221,9.777,73.690,604.21
09:03:20,25000982,476,19.03,123.75,349.68
09:20:00,7359081,384,52.18,130.23,857.35
09:36:40,12003262,2585,215.3,118.98,534.89
09:53:20,29237743,473,16.17,89.667,446.00
10:10:00,16364731,439,26.82,160.86,370.89
10:26:40,35126928,517,14.71,127.25,373.16
10:43:20,15434514,1205,78.07,210.53,848.01
11:00:00,6848489,86,12.55,191.11,404.79
11:16:40,14445439,154,10.66,80.111,157.71
11:33:20,17744258,169,9.524,112.64,242.01
11:50:00,20911206,306,14.63,130.99,219.18
12:06:40,31248377,302,9.664,147.84,255.80
12:23:20,38942384,490,12.58,144.77,212.87
12:40:00,8268358,175,21.16,133.01,183.24
12:56:40,13690776,213,15.55,158.26,198.42
13:13:20,12834330,228,17.76,111.85,188.29
13:30:00,21952814,45,2.049,104.02,195.39
13:46:40,38249213,566,14.79,129.95,247.57
14:03:20,8249999,202,24.48,120.11,188.87
14:20:00,4448729,66,14.83,86.029,126.93
14:36:40,16653828,347,20.83,426.11,952.00
14:53:20,4666549,94,20.14,175.93,883.30
15:10:00,4669454,104,22.27,178.61,269.52
15:26:40,11562435,134,11.58,155.75,242.12
15:43:20,11679671,335,28.68,103.05,168.71
16:00:00,6989773,136,19.45,167.42,487.03
16:16:40,6529639,305,46.71,156.82,283.84
16:33:20,2995552,24,8.011,197.15,170.01
16:50:00,16737222,435,25.98,246.97,426.86
17:06:40,5488528,173,31.52,136.55,412.35
17:23:20,5098200,390,76.49,124.90,240.04
17:40:00,10409081,618,59.37,90.109,224.18
17:56:40,29685560,2252,75.86,116.62,226.86
18:13:20,22455400,977,43.50,144.19,248.45
18:30:00,41228376,1322,32.06,108.51,239.60
18:46:40,35053450,777,22.16,139.89,259.86
19:03:20,16894119,127,7.517,108.89,188.45
19:20:00,5510442,95,17.23,98.965,157.11
19:36:40,8508831,110,12.92,96.579,151.78
19:53:20,5291159,139,26.27,96.159,154.23
20:10:00,3045536,70,22.98,129.30,353.56
